benchmark,experiment,tree_path,tree_theorem,node_count,edge_count,branching_node_count,average_branching_factor,max_branching_factor,single_node_tree
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_dup_intro_023/namespace-core_eval-name-and_dup_intro_023_20260517-121744,namespace-core_eval-name-and_dup_intro_023,3,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_dup_left_024/namespace-core_eval-name-and_dup_left_024_20260517-065726,namespace-core_eval-name-and_dup_left_024,3,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_intro_true_left_021/namespace-core_eval-name-and_intro_true_left_021_20260517-123556,namespace-core_eval-name-and_intro_true_left_021,4,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_intro_true_right_022/namespace-core_eval-name-and_intro_true_right_022_20260517-114828,namespace-core_eval-name-and_intro_true_right_022,2,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_project_026/namespace-core_eval-name-and_project_026_20260517-061258,namespace-core_eval-name-and_project_026,3,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_project_028/namespace-core_eval-name-and_project_028_20260517-120000,namespace-core_eval-name-and_project_028,2,1,1,1.0,1.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_reorder_034/namespace-core_eval-name-and_reorder_034_20260517-100709,namespace-core_eval-name-and_reorder_034,4,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_reorder_037/namespace-core_eval-name-and_reorder_037_20260517-043449,namespace-core_eval-name-and_reorder_037,3,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-and_reorder_040/namespace-core_eval-name-and_reorder_040_20260517-065034,namespace-core_eval-name-and_reorder_040,3,2,1,2.0,2.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-bool_and_true_161/namespace-core_eval-name-bool_and_true_161_20260517-032930,namespace-core_eval-name-bool_and_true_161,2,3,1,3.0,3.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-bool_not_false_166/namespace-core_eval-name-bool_not_false_166_20260517-034128,namespace-core_eval-name-bool_not_false_166,2,5,1,5.0,5.0,False
CoreEval 250,E1,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_trees/namespace-core_eval-name-bool_true_and_162/namespace-core_eval-name-bool_true_and_162_20260517-095922,namespace-core_eval-name-bool_true_and_162,3,6,1,6.0,6.0,False
