benchmark,experiment,theorem_name,proof_found,is_timeout,is_inference_exhausted,proof_time_in_secs,inferences_taken,possible_failed_paths,num_of_backtracks,longest_success_path,attempt_idx,proof_steps,proof_file,results_json
CoreEval 250,E1,or_case_left_053,False,True,False,311.5290822982788,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,eq_list_cons_118,False,True,False,139.28465366363525,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,eq_list_nil_117,True,False,False,77.3166618347168,-1,-1,-1,-1,0,simp,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,hardish_exists_240,False,True,False,121.95866274833679,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,prop_and_intro,False,True,False,134.53759241104126,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,list_append_assoc_174,False,True,False,176.49348068237305,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,not_true_to_false_098,False,True,False,202.95310235023499,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,false_imp_090,False,True,False,294.864098072052,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,nat_add_zero_127,False,True,False,137.5865707397461,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
CoreEval 250,E1,eq_subst_list_206,False,True,False,143.62064170837402,-1,-1,-1,-1,0,,/fs/classhomes/adelaveg/multilingual-project/proof-wala/src/proof_wala/data/proofs/lean/lean4_proj/Lean4Proj/CoreEval.lean,runs/proof_search_core_eval/6848604/E1/proof_dumps/core_eval_250/20260517-003937/proof_results.json
